<<<<<<< HEAD
,11 28,61 -38 0 83,66 -716,88 531,77
,11 28,61 -38 0 83,66 -716,88 531,77
,11 28,61 -38 0 83,66 -716,88 531,77
,11 28,61 -38 0 83,66 -716,88 531,77
,11 28,61 -38 0 83,66 -716,88 531,77
,11 28,61 -38 0 83,66 -716,88 531,77
,11 28,61 -38 0 83,66 -716,88 531,77
,11 28,61 -38 0 83,66 -716,88 531,77
,11 28,61 -38 0 83,66 -716,88 531,77
,11 28,61 -38 0 83,66 -716,88 531,77
,11 28,61 -38 0 83,66 -716,88 531,77
,11 28,61 -38 0 83,66 -716,88 531,77
,11 28,61 -38 0 83,66 -716,88 531,77
,11 28,61 -38 0 83,66 -716,88 531,77
,11 28,61 -38 0 83,66 -716,88 531,77
,11 28,61 -38 0 83,66 -716,88 531,77
,11 28,61 -38 0 83,66 -716,88 531,77
,17 74,25 -38 0 83,66 -716,88 531,77
,17 74,25 -38 0 83,66 -716,88 531,77
,17 74,25 -38 0 83,66 -716,88 531,77
,17 74,25 -38 0 83,66 -716,88 531,77
,17 74,25 -38 0 83,66 -716,88 531,77
,22 115,49 -38 0 83,66 -716,88 531,77
,22 115,49 -38 0 83,64 -716,89 531,76
,22 115,49 -38 0 83,6 -716,9 531,74
,27 180,11 -38 0 83,55 -716,92 531,72
,27 180,11 -38 0 83,46 -716,96 531,69
,27 180,11 -38 0 83,33 -717,01 531,64
,27 180,11 -38 0 83,16 -717,08 531,58
,27 180,11 -38 0 82,92 -717,17 531,51
,27 180,11 -38 0 82,63 -717,27 531,41
,27 180,11 -38 0 82,26 -717,39 531,29
,27 180,11 -38 0 81,81 -717,51 531,12
,27 180,11 -38 0 81,26 -717,63 530,92
,27 180,11 -38 0 80,62 -717,75 530,66
,27 180,11 -38 0 79,88 -717,86 530,34
,27 180,11 -38 0 79,04 -717,94 529,96
,27 180,11 -38 0 78,09 -717,99 529,52
,31 240,27 -38 0 77,05 -718,02 529,01
,31 240,27 -38 0 75,91 -718,01 528,44
,31 240,27 -38 0 74,67 -717,96 527,81
,31 240,27 -38 0 73,35 -717,88 527,11
,31 240,27 -38 0 71,94 -717,76 526,37
,31 240,27 -38 0 70,44 -717,6 525,58
,31 240,27 -38 0 68,85 -717,39 524,75
,31 240,27 -38 0 67,18 -717,14 523,86
,36 319,61 -38 0 65,43 -716,84 522,93
,36 319,61 -38 0 63,58 -716,48 521,94
,36 319,61 -38 0 61,64 -716,07 520,9
,36 319,61 -38 0 59,6 -715,58 519,78
,36 319,61 -38 0 57,47 -715,03 518,58
,36 319,61 -38 0 55,24 -714,39 517,31
,36 319,61 -38 0 52,88 -713,68 515,96
,41 406,25 -38 0 50,43 -712,87 514,52
,41 406,25 -38 0 47,88 -711,98 513
,41 406,25 -38 0 45,2 -711 511,39
,41 406,25 -38 0 42,4 -709,92 509,71
,41 406,25 -38 0 39,5 -708,74 507,95
,41 406,25 -38 0 36,49 -707,47 506,11
,41 406,25 -38 0 33,35 -706,09 504,19
,41 406,25 -38 0 30,12 -704,61 502,17
,41 406,25 -38 0 26,79 -703,03 500,07
,46 512,2 -38 0 23,37 -701,35 497,88
,46 512,2 -38 0 19,86 -699,57 495,62
,46 512,2 -38 0 16,27 -697,7 493,29
,46 512,2 -38 0 12,61 -695,75 490,9
,51 625,45 -38 0 8,9 -693,73 488,46
,51 625,45 -38 0 5,14 -691,64 485,99
,51 625,45 -38 0 1,31 -689,48 483,49
,51 625,45 -38 0 -2,56 -687,26 480,96
,51 625,45 -38 0 -6,47 -684,99 478,4
,51 625,45 -38 0 -10,42 -682,66 475,81
,51 625,45 -38 0 -14,43 -680,27 473,18
,51 625,45 -38 0 -18,47 -677,83 470,51
,55 736,5 -38 0 -22,55 -675,32 467,79
,55 736,5 -38 0 -26,71 -672,74 465,02
,55 736,5 -38 0 -30,94 -670,09 462,2
,55 736,5 -38 0 -35,24 -667,36 459,33
,61 897,68 -38 0 -39,62 -664,55 456,39
,61 897,68 -38 0 -44,09 -661,65 453,39
,61 897,68 -38 0 -48,67 -658,64 450,32
,61 897,68 -38 0 -53,36 -655,53 447,17
,61 897,68 -38 0 -58,14 -652,31 443,93
,61 897,68 -38 0 -62,85 -649,02 440,59
,61 897,68 -38 0 -67,55 -645,63 437,08
,61 897,68 -38 0 -72,28 -642,14 433,45
,61 897,68 -38 0 -76,95 -638,6 429,76
,66 1061,84 -38 0 -81,5 -635,05 426
,66 1061,84 -38 0 -85,91 -631,56 422,21
,66 1061,84 -38 0 -90,13 -628,22 418,58
,66 1061,84 -38 0 -94,07 -625,13 415,22
,66 1061,84 -38 0 -97,72 -622,35 412,17
,66 1061,84 -38 0 -101,04 -619,93 409,5
,66 1061,84 -38 0 -103,83 -617,94 407,27
,7 1208,6 -38 0 -106,19 -616,36 405,52
,7 1208,6 -38 0 -108,23 -615,11 404,19
,7 1208,6 -38 0 -109,78 -614,2 403,19
,7 1208,6 -38 0 -110,92 -613,56 402,5
,7 1208,6 -38 0 -111,77 -613,14 402,03
,7 1208,6 -38 0 -112,36 -612,87 401,73
,7 1208,6 -38 0 -112,74 -612,72 401,54
,75 1375,85 -38 0 -112,97 -612,63 401,41
,75 1375,85 -38 0 -113,1 -612,59 401,34
,75 1375,85 -38 0 -113,17 -612,56 401,3
,75 1375,85 -38 0 -113,2 -612,55 401,28
,75 1375,85 -38 0 -113,22 -612,54 401,27
,75 1375,85 -38 0 -113,23 -612,54 401,26
,75 1375,85 -38 0 -113,24 -612,54 401,26
,75 1375,85 -38 0 -113,24 -612,54 401,26
,75 1375,85 -38 0 -113,24 -612,54 401,26
,8 1553,94 -38 0 -113,24 -612,54 401,26
,8 1553,94 -38 0 -113,24 -612,54 401,26
,8 1553,94 -38 0 -113,24 -612,54 401,26
,8 1553,94 -38 0 -113,24 -612,54 401,26
,8 1553,94 -38 0 -113,24 -612,54 401,26
,8 1553,94 -38 0 -113,24 -612,54 401,26
,8 1553,94 -38 0 -113,24 -612,54 401,26
,8 1553,94 -38 0 -113,24 -612,54 401,26
,85 1751,15 -38 0 -113,24 -612,54 401,26
,85 1751,15 -38 0 -113,24 -612,54 401,26
,85 1751,15 -38 0 -113,24 -612,54 401,26
,85 1751,15 -38 0 -113,24 -612,54 401,26
,85 1751,15 -38 0 -113,24 -612,54 401,26
,96 2279,1 -38 0 -113,24 -612,54 401,26
,96 2279,1 -38 0 -113,24 -612,54 401,26
,96 2279,1 -38 0 -113,24 -612,54 401,26
,96 2279,1 -38 0 -113,24 -612,54 401,26
,96 2279,1 -38 0 -113,24 -612,54 401,26
